Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
jjkl,Chrome 94.0.4606.81,,,2021-10-15 14:44:26,2021-10-15 14:47:16,2m - 50.554s,FAILED
,,,,,,,
Test Cases/Brochures/Leadership_and_Influence,Chrome 94.0.4606.81,,,2021-10-15 14:46:36,2021-10-15 14:47:16,40.579s,FAILED
"openBrowser("""")",Chrome 94.0.4606.81,,,2021-10-15 14:46:36,2021-10-15 14:46:38,1.779s,PASSED
"navigateToUrl(""https://www.babson.edu/academics/executive-education/open-enrollment-programs/the-entrepreneurial-family/"")",Chrome 94.0.4606.81,,,2021-10-15 14:46:38,2021-10-15 14:46:40,2.701s,PASSED
"click(findTestObject(""Object Repository/Page_The Entrepreneurial Family  Babson College/a_X - CLOSE THIS WINDOW""))",Chrome 94.0.4606.81,,,2021-10-15 14:46:40,2021-10-15 14:46:41,0.593s,PASSED
"setText(findTestObject(""Object Repository/Page_The Entrepreneurial Family  Babson College/input_First Name_tfa_1""), ""Katalon"")",Chrome 94.0.4606.81,,,2021-10-15 14:46:41,2021-10-15 14:47:16,35.495s,FAILED
